STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,citizen,Country of citizenship,agedef,Age definition,age,Age class,unit,Unit of measure,sex,Sex,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,BG,Bulgaria,2019,,37929,,p,provisional,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,BG,Bulgaria,2020,,37364,,p,provisional,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,BG,Bulgaria,2021,,39461,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,BG,Bulgaria,2022,,40619,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,BG,Bulgaria,2023,,56807,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,CH,Switzerland,2012,,149051,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,CH,Switzerland,2013,,160157,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,CH,Switzerland,2014,,156282,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,CH,Switzerland,2015,,153627,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,CH,Switzerland,2016,,149305,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,CH,Switzerland,2017,,143377,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,CH,Switzerland,2018,,144857,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,CH,Switzerland,2019,,145129,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,CH,Switzerland,2020,,138778,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,CH,Switzerland,2021,,144907,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,CH,Switzerland,2022,,167079,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,CH,Switzerland,2023,,263081,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,CY,Cyprus,2012,,16138,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,CY,Cyprus,2013,,13666,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,CY,Cyprus,2014,,13003,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,CY,Cyprus,2015,,15364,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,CY,Cyprus,2016,,18590,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,CY,Cyprus,2017,,22458,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,CY,Cyprus,2018,,25740,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,CY,Cyprus,2019,,27553,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,CY,Cyprus,2020,,22850,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,CY,Cyprus,2021,,25473,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,CY,Cyprus,2022,,37558,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,CY,Cyprus,2023,,40761,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,CZ,Czechia,2012,,34337,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,CZ,Czechia,2013,,30124,,b,break in time series,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,CZ,Czechia,2014,,29897,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,CZ,Czechia,2015,,29602,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,CZ,Czechia,2016,,64083,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,CZ,Czechia,2017,,51847,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,CZ,Czechia,2018,,65910,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,CZ,Czechia,2019,,105888,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,CZ,Czechia,2020,,63095,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,CZ,Czechia,2021,,69360,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,CZ,Czechia,2022,,347429,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,CZ,Czechia,2023,,142149,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,DE,Germany,2012,,592175,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,DE,Germany,2013,,692713,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,DE,Germany,2014,,898840,,e,estimated,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,DE,Germany,2015,,1595865,,e,estimated,,
