,country_iso3_id,immigration_per_100000,year_id,convicts_per_100000,country_name,lon,lat,text
0,AUT,1194.87,2018,312.78,austria,16.3798,48.2201,"austria<br>Immigration 1194.87
 Crime312.78"
5,BEL,1206.44,2018,2008.99,belgium,4.36761,50.8371,"belgium<br>Immigration 1206.44
 Crime2008.99"
8,BGR,440.47,2018,341.27,bulgaria,23.3238,42.7105,"bulgaria<br>Immigration 440.47
 Crime341.27"
13,CHE,1701.33,2018,1246.84,switzerland,7.44821,46.948,"switzerland<br>Immigration 1701.33
 Crime1246.84"
18,CZE,620.04,2018,516.15,czechia,14.4205,50.0878,"czechia<br>Immigration 620.04
 Crime516.15"
23,DEU,1032.15,2018,854.44,germany,13.4115,52.5235,"germany<br>Immigration 1032.15
 Crime854.44"
28,DNK,1116.21,2018,3155.15,denmark,12.5681,55.6763,"denmark<br>Immigration 1116.21
 Crime3155.15"
33,EST,1327.33,2018,431.33,estonia,24.7586,59.4392,"estonia<br>Immigration 1327.33
 Crime431.33"
40,ESP,1375.92,2018,637.68,spain,-3.70327,40.4167,"spain<br>Immigration 1375.92
 Crime637.68"
45,FIN,563.97,2018,1501.56,finland,24.9525,60.1608,"finland<br>Immigration 563.97
 Crime1501.56"
50,FRA,576.49,2018,833.76,france,2.35097,48.8566,"france<br>Immigration 576.49
 Crime833.76"
54,HRV,652.56,2018,302.32,croatia,15.9614,45.8069,"croatia<br>Immigration 652.56
 Crime302.32"
59,HUN,854.41,2018,682.2,hungary,19.0408,47.4984,"hungary<br>Immigration 854.41
 Crime682.2"
64,ITA,552.5,2018,358.33,italy,12.4823,41.8955,"italy<br>Immigration 552.5
 Crime358.33"
65,LTU,1327.33,2018,705.77,lithuania,25.2799,54.6896,"lithuania<br>Immigration 1327.33
 Crime705.77"
70,LUX,4053.62,2018,1349.28,luxembourg,6.1296,49.61,"luxembourg<br>Immigration 4053.62
 Crime1349.28"
75,LVA,566.06,2018,445.48,latvia,24.1048,56.9465,"latvia<br>Immigration 566.06
 Crime445.48"
80,MNE,1379.71,2018,543.04,montenegro,19.2595,42.4602,"montenegro<br>Immigration 1379.71
 Crime543.04"
88,NLD,1127.61,2018,450.86,netherlands,4.89095,52.3738,"netherlands<br>Immigration 1127.61
 Crime450.86"
93,NOR,901.07,2018,280.7,norway,10.7387,59.9138,"norway<br>Immigration 901.07
 Crime280.7"
98,POL,563.75,2018,746.64,poland,21.02,52.26,"poland<br>Immigration 563.75
 Crime746.64"
101,PRT,538.29,2018,452.17,portugal,-9.13552,38.7072,"portugal<br>Immigration 538.29
 Crime452.17"
106,ROU,886.2,2018,164.32,romania,26.0979,44.4479,"romania<br>Immigration 886.2
 Crime164.32"
111,SWE,1303.19,2018,595.21,sweden,18.0645,59.3327,"sweden<br>Immigration 1303.19
 Crime595.21"
116,SVN,1372.06,2018,305.58,slovenia,14.5044,46.0546,"slovenia<br>Immigration 1372.06
 Crime305.58"
121,SVK,133.16,2018,539.84,slovakia,,,"slovakia<br>Immigration 133.16
 Crime539.84"
